cancer_type,study_id,cancer_type_id,ACSL4_n,ACSL4_median_z,ACSL4_frac_low,ACSL4_frac_verylow,ACSL4_median_rsem,GPX4_n,GPX4_median_z,GPX4_frac_low,GPX4_frac_verylow,GPX4_median_rsem,SLC7A11_n,SLC7A11_median_z,SLC7A11_frac_low,SLC7A11_frac_verylow,SLC7A11_median_rsem,HMOX1_n,HMOX1_median_z,HMOX1_frac_low,HMOX1_frac_verylow,HMOX1_median_rsem,TP53_n,TP53_median_z,TP53_frac_low,TP53_frac_verylow,TP53_median_rsem,TFRC_n,TFRC_median_z,TFRC_frac_low,TFRC_frac_verylow,TFRC_median_rsem,KEAP1_n,KEAP1_median_z,KEAP1_frac_low,KEAP1_frac_verylow,KEAP1_median_rsem
acc,acc_tcga_pan_can_atlas_2018,acc,78,0.028,0.1667,0.0256,3237.38,78,0.0628,0.1667,0.0256,6495.97,78,0.0275,0.1667,0.0128,47.92,78,-0.0653,0.1667,0.0256,732.11,78,0.0481,0.1026,0.0641,775.04,78,0.0756,0.1667,0.0128,1394.14,78,0.1198,0.1795,0.0385,2516.49
blca,blca_tcga_pan_can_atlas_2018,blca,407,0.0017,0.1548,0.0221,949.64,407,0.017,0.1425,0.0221,3450.97,407,-0.1349,0.1229,0.0049,113.91,407,0.002,0.1597,0.0246,855.12,407,0.2351,0.1474,0.0516,1646.05,407,-0.1187,0.1548,0.0098,3495.69,407,-0.0973,0.145,0.0098,2074.26
brca,brca_tcga_pan_can_atlas_2018,brca,1082,0.0952,0.159,0.0305,670.34,1082,-0.01,0.1386,0.0231,3318.55,1082,-0.0681,0.1423,0.0222,99.99,1082,-0.0066,0.1386,0.0166,817.26,1082,0.1454,0.1405,0.0545,1593.67,1082,-0.0159,0.1608,0.0194,2596.56,1082,0.0577,0.1266,0.0342,1598.34
cesc,cesc_tcga_pan_can_atlas_2018,cesc,294,-0.0209,0.1293,0.0272,805.07,294,-0.0341,0.1395,0.017,2733.89,294,-0.0425,0.1463,0.0204,134.09,294,-0.0635,0.1667,0.0136,550.45,294,0.0823,0.1429,0.0272,1885.04,294,-0.0212,0.1497,0.017,5591.29,294,-0.029,0.1327,0.0238,2570.4
chol,chol_tcga_pan_can_atlas_2018,chol,36,-0.1288,0.1111,0.0,1145.87,36,-0.0431,0.1389,0.0278,3980.49,36,-0.0726,0.1667,0.0,117.56,36,-0.0127,0.1111,0.0278,628.49,36,0.1177,0.1389,0.0278,1817.45,36,0.1026,0.1389,0.0556,2104.1,36,0.0229,0.1667,0.0,1696.84
coadread,coadread_tcga_pan_can_atlas_2018,coadread,592,0.1622,0.1436,0.0372,1393.02,592,0.021,0.1605,0.0169,2418.1,592,0.0034,0.1453,0.0169,427.76,592,0.0539,0.1605,0.027,515.44,592,0.3035,0.1757,0.0743,2385.28,592,0.0638,0.1571,0.0355,8035.68,592,-0.0586,0.1166,0.0068,1814.53
dlbc,dlbc_tcga_pan_can_atlas_2018,dlbclnos,48,0.0766,0.1458,0.0417,1431.87,48,0.0066,0.1875,0.0208,4726.98,48,-0.064,0.125,0.0625,73.56,48,0.0428,0.1458,0.0208,2748.6,48,0.1461,0.0625,0.0417,2439.8,48,0.0943,0.1458,0.0208,6551.69,48,-0.0046,0.125,0.0208,1937.21
esca,esca_tcga_pan_can_atlas_2018,esca,181,0.0997,0.1436,0.0276,2092.12,181,0.0142,0.1547,0.0276,1603.71,181,-0.0506,0.1602,0.0166,914.17,181,0.0048,0.1547,0.0221,418.13,181,0.2505,0.1878,0.0276,1339.17,181,-0.0549,0.1547,0.0166,7641.37,181,-0.0459,0.1602,0.011,1475.45
gbm,gbm_tcga_pan_can_atlas_2018,difg,160,-0.0257,0.1688,0.025,834.99,160,-0.1077,0.1313,0.0125,3281.56,160,0.0479,0.2,0.025,832.13,160,-0.0056,0.1625,0.025,2533.71,160,0.0983,0.1313,0.0437,1680.05,160,0.0226,0.125,0.0375,2665.97,160,-0.0527,0.1875,0.0125,2123.86
hnsc,hnsc_tcga_pan_can_atlas_2018,hnsc,515,0.0785,0.1631,0.0291,1419.06,515,-0.0823,0.1359,0.0136,2148.39,515,-0.0126,0.1534,0.0194,452.63,515,-0.0023,0.1437,0.0155,831.11,515,0.2038,0.1825,0.035,1275.5,515,-0.1214,0.1495,0.0078,4453.34,515,-0.0783,0.1456,0.0175,2321.49
