ONCOLYTIC_PERC_META grid_dim=60 n_steps=60 cell_size_um=20
ONCOLYTIC_PERC replication=1 permissive_fraction=0.02 front_radius_um=0.000 oncolytic_kills=0 total_tumor=82519 seeded=false closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.04 front_radius_um=48.990 oncolytic_kills=2 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.06 front_radius_um=63.246 oncolytic_kills=2 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.08 front_radius_um=91.652 oncolytic_kills=5 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.1 front_radius_um=538.145 oncolytic_kills=372 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.12 front_radius_um=540.000 oncolytic_kills=6882 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.14 front_radius_um=540.000 oncolytic_kills=10504 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.16 front_radius_um=540.000 oncolytic_kills=12710 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.2 front_radius_um=540.000 oncolytic_kills=16399 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.25 front_radius_um=540.000 oncolytic_kills=20507 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.3 front_radius_um=540.000 oncolytic_kills=24831 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.4 front_radius_um=540.000 oncolytic_kills=32911 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.55 front_radius_um=540.000 oncolytic_kills=45382 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.7 front_radius_um=540.000 oncolytic_kills=57916 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=0.85 front_radius_um=540.000 oncolytic_kills=70043 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=1 permissive_fraction=1 front_radius_um=540.000 oncolytic_kills=82519 total_tumor=82519 seeded=true closed_form_speed=2.000000
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.02 front_radius_um=60.000 oncolytic_kills=1 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.04 front_radius_um=60.000 oncolytic_kills=1 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.06 front_radius_um=60.000 oncolytic_kills=1 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.08 front_radius_um=84.853 oncolytic_kills=4 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.1 front_radius_um=48.990 oncolytic_kills=1 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.12 front_radius_um=376.298 oncolytic_kills=220 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.14 front_radius_um=539.630 oncolytic_kills=1364 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.16 front_radius_um=540.000 oncolytic_kills=5516 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.2 front_radius_um=540.000 oncolytic_kills=14821 total_tumor=82519 seeded=true closed_form_speed=1.549193
ONCOLYTIC_PERC replication=0.6 permissive_fraction=0.25 front_radius_um=540.000 oncolytic_kills=19863 total_tumor=82519 seeded=true closed_form_speed=1.549193
