RADIATION_OER_ZONES lambda_um=30 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=11.2299 transition_po2_mmhg=0.1498 deep_po2_mmhg=0.0001
RADIATION_OER_ZONES lambda_um=50 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=16.6251 transition_po2_mmhg=1.1192 deep_po2_mmhg=0.0149
RADIATION_OER_ZONES lambda_um=80 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=22.0335 transition_po2_mmhg=3.8216 deep_po2_mmhg=0.2762
RADIATION_OER_ZONES lambda_um=120 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=26.3754 transition_po2_mmhg=7.9389 deep_po2_mmhg=1.4260
RADIATION_OER_ZONES lambda_um=200 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=30.8647 transition_po2_mmhg=14.7384 deep_po2_mmhg=5.3636
RADIATION_OER_SWEEP lambda_um=30 dose_gy=0 overall=0.000000 normoxic=0.000000 transition=0.000000 hypoxic=0.000000 radiation_kills=0 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=0.5 overall=0.074031 normoxic=0.098652 transition=0.046540 hypoxic=0.045262 radiation_kills=6109 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=1 overall=0.148160 normoxic=0.194964 transition=0.096345 hypoxic=0.088245 radiation_kills=12226 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=1.5 overall=0.218386 normoxic=0.288708 transition=0.140402 hypoxic=0.129925 radiation_kills=18021 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=2 overall=0.288467 normoxic=0.377293 transition=0.190513 hypoxic=0.170303 radiation_kills=23804 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=2.5 overall=0.346817 normoxic=0.451523 transition=0.229548 hypoxic=0.228590 radiation_kills=28619 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=3 overall=0.405688 normoxic=0.525385 transition=0.274330 hypoxic=0.239010 radiation_kills=33477 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=4 overall=0.512343 normoxic=0.648000 transition=0.362500 hypoxic=0.334744 radiation_kills=42278 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=5 overall=0.596335 normoxic=0.744542 transition=0.431864 hypoxic=0.411267 radiation_kills=49209 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=6 overall=0.674390 normoxic=0.819597 transition=0.515513 hypoxic=0.466623 radiation_kills=55650 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=8 overall=0.779905 normoxic=0.913365 transition=0.631892 hypoxic=0.612178 radiation_kills=64357 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=10 overall=0.851707 normoxic=0.960374 transition=0.733622 hypoxic=0.686747 radiation_kills=70282 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=12 overall=0.899163 normoxic=0.981563 transition=0.810100 hypoxic=0.768479 radiation_kills=74198 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=14 overall=0.933446 normoxic=0.991813 transition=0.869866 hypoxic=0.846630 radiation_kills=77027 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=16 overall=0.956156 normoxic=0.996170 transition=0.913560 hypoxic=0.885054 radiation_kills=78901 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=20 overall=0.982271 normoxic=0.999335 transition=0.964118 hypoxic=0.951807 radiation_kills=81056 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=24 overall=0.993008 normoxic=0.999908 transition=0.986021 hypoxic=0.976555 radiation_kills=81942 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=30 overall=0.998618 normoxic=1.000000 transition=0.997321 hypoxic=0.994139 radiation_kills=82405 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=40 overall=0.999976 normoxic=1.000000 transition=0.999972 hypoxic=0.999674 radiation_kills=82517 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=30 dose_gy=60 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=0 overall=0.000000 normoxic=0.000000 transition=0.000000 hypoxic=0.000000 radiation_kills=0 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=0.5 overall=0.089446 normoxic=0.112640 transition=0.064955 hypoxic=0.045913 radiation_kills=7381 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=1 overall=0.176153 normoxic=0.221909 transition=0.127874 hypoxic=0.089873 radiation_kills=14536 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=1.5 overall=0.257662 normoxic=0.324184 transition=0.187612 hypoxic=0.130576 radiation_kills=21262 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=2 overall=0.332190 normoxic=0.413846 transition=0.246512 hypoxic=0.172582 radiation_kills=27412 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=2.5 overall=0.405579 normoxic=0.503921 transition=0.301842 hypoxic=0.219798 radiation_kills=33468 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=3 overall=0.473879 normoxic=0.583907 transition=0.359208 hypoxic=0.249756 radiation_kills=39104 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=4 overall=0.586895 normoxic=0.710260 transition=0.458984 hypoxic=0.327906 radiation_kills=48430 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=5 overall=0.680413 normoxic=0.807168 transition=0.549805 hypoxic=0.404754 radiation_kills=56147 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=6 overall=0.754796 normoxic=0.879036 transition=0.627121 hypoxic=0.480625 radiation_kills=62285 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=8 overall=0.851816 normoxic=0.955329 transition=0.746903 hypoxic=0.606317 radiation_kills=70291 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=10 overall=0.911220 normoxic=0.984590 transition=0.839648 hypoxic=0.704656 radiation_kills=75193 total_tumor=82519
