pmid,status,title,journal,year,missing_kind,path
15771276,incomplete,Tissue ablation with irreversible electroporation.,Annals of biomedical engineering,2005,paywalled,corpus/by-pmid/15771276.md
24561446,incomplete,Thermal ablation of tumours: biological mechanisms and advances in therapy.,Nature reviews. Cancer,2014,paywalled,corpus/by-pmid/24561446.md
25367011,incomplete,Emerging HIFU applications in cancer therapy.,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",2015,paywalled,corpus/by-pmid/25367011.md
25787829,incomplete,Stage III pancreatic cancer and the role of irreversible electroporation.,BMJ (Clinical research ed.),2015,paywalled,corpus/by-pmid/25787829.md
26258317,incomplete,Treatment of 200 locally advanced (stage III) pancreatic adenocarcinoma patients with irreversible electroporation: safety and efficacy.,Annals of surgery,2015,paywalled,corpus/by-pmid/26258317.md
26486350,incomplete,"Sonodynamic Therapy: Concept, Mechanism and Application to Cancer Treatment.",Advances in experimental medicine and biology,2016,paywalled,corpus/by-pmid/26486350.md
28829584,incomplete,Two-Dimensional Graphene Augments Nanosonosensitized Sonocatalytic Tumor Eradication.,ACS nano,2017,paywalled,corpus/by-pmid/28829584.md
28918265,incomplete,Amorphous liquid metal electrodes enabled conformable electrochemical therapy of tumors.,Biomaterials,2017,paywalled,corpus/by-pmid/28918265.md
29613770,incomplete,Nanoenzyme-Augmented Cancer Sonodynamic Therapy by Catalytic Tumor Oxygenation.,ACS nano,2018,paywalled,corpus/by-pmid/29613770.md
29978216,missing_file,,,,missing_file,corpus/by-pmid/29978216.md
30734370,incomplete,Platinum Nanoparticles to Enable Electrodynamic Therapy for Effective Cancer Treatment.,"Advanced materials (Deerfield Beach, Fla.)",2019,paywalled,corpus/by-pmid/30734370.md
31413923,missing_file,,,,missing_file,corpus/by-pmid/31413923.md
31712683,incomplete,Synthetic lethality as an engine for cancer drug target discovery.,Nature reviews. Drug discovery,2020,paywalled,corpus/by-pmid/31712683.md
