n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
1,30271641,MESH:D007938,leukemia,,Leukemia,TP,"Extramedullary disease in Ph’-positive chronic myelogenous leukemia: frequency, clinical features and prognostic significance Haematologica  1990 75 146 148 2358205  11 Nedergaard T."
2,30627137,OMIM:602482,TPM,transcription,,FP,KDM2A represses transcription of centromeric satellite repeats and maintains the heterochromatic state.
3,31673206,MESH:D008223,lymphoma,,Lymphoma,FP,"E-mail: udupa.k@gmail.comOct-Dec 2019 25 4 523 526 Copyright: © 2019 Indian Journal of Palliative Care2019This is an open access journal, and articles are distributed under the terms of the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License, which allows others to remix, tweak, and build upon the work non-commercially, as long as appropriate credit is given and the new creations are"
4,35685777,OMIM:613563,MUTATIONS,mutations,,FP,Subset of individuals with autism spectrum disorders and extreme macrocephaly associated with germline PTEN tumour suppressor gene mutations.
5,34079797,OMIM:612348,AS,activity,,FP,"In sum, these results demonstrate that hTERT upregulates NRF2 by recruiting the transcription factor YBX1, which binds to the P2 fragment of the NRF2 promoter to increase the transcriptional activity of NRF2."
6,39014279,MESH:D009336,necrosis,necrosis,Necrosis,FP,"Ai J-W Zhang S Ruan Q-L The risk of tuberculosis in patients with rheumatoid arthritis treated with tumor necrosis factor-α antagonist: a metaanalysis of both randomized controlled trials and registry/cohort studies J Rheumatol 2015 42 2229 2237 10.3899/jrheum.150057 26472414 Ai J-W, Zhang S, Ruan Q-L, et al."
7,40283189,MESH:D004194,disease,disease,Disease,TP,mTOR signaling in growth control and disease Cell 2012 149 274 293 10.1016/j.cell.2012.03.017 22500797 42.
8,37025488,MESH:D012964,sodium,,Sodium,TP,"Parecoxib sodium also downregulates reactive oxygen species and lipid peroxidation levels, thereby attenuating oxidative stress and regulating redox imbalance by modulating NF-κB and Nrf-2 (Wu et al., 2021)."
9,39458455,135,A2AR,receptor,,FP,"It also exhibited MAO-A and AChE inhibition, along with moderate binding affinity to the GABA-A receptor."
10,39263366,MESH:D004194,disease,disease,Disease,TP,Conclusion  The WHO’s global strategy for the elimination of cervical cancer as a disease of global health significance cannot be realized if HPV vaccination programs in LMICs in the SSA are not optimized.
11,36532943,OMIM:600512,FEATURES,features,,FP,Multiple biopsies were obtained and came back positive with high-grade mucinous adenocarcinoma with signet ring features.
12,38846784,80150,L-asparaginase,l-asparaginase,,TP,Efficacy and adverse events of continuous l-asparaginase administration for canine large cell lymphoma of presumed gastrointestinal origin.
13,27409425,OMIM:616452,anergy,expansion,,FP,"IL-2, IL-7, and IL-15 favored the ex vivo expansion of CART cells compared to other cytokines or no cytokine treatment."
14,36357400,OMIM:256040,proteasome,proteasome,,TP,"Because proteasome activity is crucial for successful completion of ERAD35, we tested its effect on PRDX4."
15,31681841,MESH:D012008,recurrence,recurrence,Recurrence,TP,"We also generated a tumor model showing that “personalized nano-Ag@erythrosomes” could be achieved by fusing RBCs and surgically removed tumors, which effectively reduced tumor recurrence and metastasis after surgery."
16,41288738,2879,GPX4,gpx4|gpx4,,TP,"Yang WS SriRamaratnam R Welsch ME Regulation of ferroptotic cancer cell death by GPX4 Cell 2014 156 317 331 10.1016/j.cell.2013.12.010 24439385 Yang WS, SriRamaratnam R, Welsch ME et al (2014) Regulation of ferroptotic cancer cell death by GPX4."
17,34429627,OMIM:612348,AS,activity,,FP,"Therefore, it follows then that enhancement of the ATPase activity of this enzyme (acting in the reverse mode) would further cause an irreversible opening of the pore."
18,40757547,OMIM:603663,health,health,,TP,Sarcopenia prevalence and associated factors among older Chinese population: Findings from the China Health and Retirement Longitudinal Study PLoS ONE 2021 16 e0247617 10.1371/journal.pone.0247617 33661964 53.
19,24069189,269881,serine/threonine kinase,kinase,,FP,"Methods Beta cells were treated with streptozotocin (STZ) to induce oxidative stress and with palmitate or thapsigargin (Tg) to induce ER stress respectively, and the effects of exenatide and piragliatin on these cells were investigated by: a) characterizing the kinases involved employing specific kinase inhibitors, and b) by identifying the differentially regulated proteins in response to stresse"
20,33096836,OMIM:612348,AS,active,,FP,"In view of the results outlined above, one of the most active ACGs that was also isolated in higher amounts, namely annonacin (4), was selected to perform a cytotoxicity study at various concentrations (from 6.25 to 100 µM) in different tumoral (IGROV-1 and HeLa) and non-tumoral (HEK-293) cell lines (Figure 4) for 24 h."
21,39765756,24829,histone,histone,,TP,Histone Modifications in Head and Neck Squamous Cell Carcinoma Front.
22,28035959,MESH:C024537,Green,green,green 5,FP,"The gallocatechin, epicatechin-3-gallate is a major polyphenol present in green tea, shown responsible for these effects."
23,41288738,MESH:D003643,death,death|death,Death,TP,"Yang WS SriRamaratnam R Welsch ME Regulation of ferroptotic cancer cell death by GPX4 Cell 2014 156 317 331 10.1016/j.cell.2013.12.010 24439385 Yang WS, SriRamaratnam R, Welsch ME et al (2014) Regulation of ferroptotic cancer cell death by GPX4."
24,24790826,35047,Dorsal,dorsal,,FP,"Materials and methods After obtaining the approval of the Columbia University Medical Center Institutional Review Board, we conducted a prospective, randomized, double-blinded, placebo-controlled study comparing bupivacaine (Marcaine, 5 mg/mL, Hospira Inc., Lake Forest, IL) dorsal penile nerve block versus normal saline injection at the conclusion of RARP for localized prostate cancer."
25,29070582,OMIM:608852,impaired pulmonary function,pulmonary function,,FP,"Anatomical segmentectomy has been developed to offer better pulmonary function preservation than lobectomy, in stage IA lung cancer."
26,32547156,MESH:D009336,necrosis,necrosis,Necrosis,FP,"According to the data, different cytokines including interleukin-1β (IL-1β), IL-6, and tumor necrosis factor-α (TNF-α) are involved in both term and preterm parturition."
27,41239272,OMIM:614922,TRANSLATIONAL,translational|translational,,FP,"While a few notable translational switches controlling anoikis have been identified as noted above (MTOR/eIF4E, DAP5, ISR signaling, HuR/SOD2), the role of translational regulation remains to be investigated for several reasons."
28,25013435,387176,miR-181a,mir-181a,,TP,"Results When compared with the expression in benign breast tissues, seven of the miRNAs (miR-31, miR-205, miR-34a, miR-146a, miR-125b, miR-34c, and miR-181a) were downregulated more than 1.5-fold in tumor tissues, whereas, only miR-21 was found to be upregulated more than 1.5-fold in tumor tissues."
29,32686770,3952,leptin,leptin,,TP,"To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/.Cholecystokinin (CCK) and leptin are satiety-controlling peptides, yet their interactive roles remain unclear."
30,30231041,MESH:D004194,disease,,Disease,FP,"10.1002/pros.10140  12386917  37 Russo GI , Cimino S , Castelli T , Favilla V , Gacci M , Carini M , et al Benign Prostatic Hyperplasia, Metabolic Syndrome and Non‐Alcoholic Fatty Liver Disease: Is Metaflammation the Link?"
