n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
1,33796237,MESH:C000604908,acalabrutinib,acalabrutinib,acalabrutinib,TP,"Of note, the estimated PFS at 2 years was 87% with acalabrutinib versus 93% with acalabrutinib-obinutuzumab and while the study was not powered to evaluate the effect of obinutuzumab added to a BTK inhibitor, this difference in PFS is provocative."
2,36356412,MESH:D000093542,gemcitabine,gemcitabine|gemcitabine,Gemcitabine,TP,Combination gemcitabine plus S-1 versus gemcitabine plus cisplatin for advanced/recurrent biliary tract cancer: the FUGA-BT (JCOG1113) randomized phase III clinical trial Ann Oncol 30 2019 1950 1958 31566666 52 Nakayama G.
3,30177838,4318,MMP-9,mmp9,,TP,"In ACHN cells, overexpression of wild-type CXCR4 dramatically increased MMP9, Twist, and CXCL12 mRNA expression while CXCR4-mNLS overexpression had no effect on the mRNA expression of these genes."
4,27213336,4512,COX-1,cox1,,FP,"Recently, a study aimed at evaluating the miRNAs’ translocation from the nuclei to mitochondria and their implication in the mitochondrial function found that miR-181c translocates into mitochondria and targets COX1 (cytochrome c oxidase subunit 1), leading to re-modelling of the complex IV of the electron transfer chain (ETC) with ensuing mitochondrial dysfunction [34]."
5,33925599,MESH:D001943,breast cancer,breast cancer,Breast Neoplasms,TP,"Still, in a study by Lee et al., no association was found between the use of oral contraceptives and the risk of breast cancer in carriers of BRCA1 and BRCA2 mutations [114]."
6,35332692,822,CAPG,capg,,TP,FIGURE 4 Circ_0055412 recruits EIF4A3 protein to enhance the stability of CAPG mRNA.
7,36059664,7157,p53,tp53,,TP,Figure 6 Estimation of the sample size for the relationship between TP53 rs1042522 polymorphism and cervical cancer.
8,26180580,MESH:D007249,inflammatory,inflammation|inflammation|inflammatory,Inflammation,TP,"Inflammation In addition to acute inflammation as seen in sepsis, many other more chronic diseases including diabetes and cancer have a very important inflammatory component."
9,36672527,MESH:D013274,gastric cancer,gastric cancer,Stomach Neoplasms,TP,High expression of fibronectin 1 indicates poor prognosis in gastric cancer Oncol.
10,34489873,MESH:D000236,adenoma,,Adenoma,TP,"Nineteen somatic mutations were identified in the adrenal adenoma, facing 16 somatic mutations in the pituitary adenoma (Supplementary Table 2)."
11,30154400,MESH:D006531,HEPES,hepes,HEPES,TP,"Briefly, 250 µg of each sample was mixed with 1 mM DTT, 8 M urea, 25 mM HEPES, pH 7.6 and transferred to a 10-kDa cutoff centrifugation filtering unit (Pall, Nanosep®), and centrifuged at 14,000×g for 15 min."
12,35423427,MESH:D010051,ovarian cancer,ovarian cancer,Ovarian Neoplasms,TP,2.1.8 Ovarian  The potential use of PLGA nanoparticles as a paclitaxel carrier for ovarian cancer stem cells (OCSCs) was reported.
