# Regenerate: python scripts/retag_gold_set.py  (#346 MeSH evidence fallback).
# predicted_baseline = tagger with FERRO_MESH_EXPANSION off (the committed baseline);
# predicted_mesh = with the MeSH fallback on. gold_evidence_level is the manual label.
pmid,sample_mechanism,predicted_baseline,predicted_mesh,gold_evidence_level
36405739,immunotherapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
36717184,immunotherapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
37433716,immunotherapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
38022659,immunotherapy,phase1-clinical,phase1-clinical,phase1-clinical
39679828,immunotherapy,preclinical-invitro,preclinical-invitro,preclinical-invivo
40040833,immunotherapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
40069686,immunotherapy,preclinical-invitro,preclinical-invitro,preclinical-invivo
40406146,immunotherapy,preclinical-invivo,preclinical-invivo,theoretical
40817248,immunotherapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
40943370,immunotherapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
37370255,immunotherapy,,,none-applicable
37655661,immunotherapy,,,preclinical-invivo
38858600,immunotherapy,,preclinical-invivo,preclinical-invivo
39210987,immunotherapy,,,none-applicable
39435274,immunotherapy,,,none-applicable
39830952,immunotherapy,,,clinical-other
40753395,immunotherapy,,,clinical-other
41313664,immunotherapy,,clinical-other,clinical-other
41567187,immunotherapy,,,none-applicable
41660849,immunotherapy,,,theoretical
35890409,mRNA-vaccine,phase2-clinical,phase2-clinical,none-applicable
36313716,mRNA-vaccine,preclinical-invivo,preclinical-invivo,preclinical-invivo
39380383,mRNA-vaccine,preclinical-invitro,preclinical-invitro,preclinical-invivo
39403328,mRNA-vaccine,preclinical-invitro,preclinical-invitro,theoretical
39910301,mRNA-vaccine,phase1-clinical,phase1-clinical,phase1-clinical
39972124,mRNA-vaccine,phase1-clinical,phase1-clinical,phase1-clinical
40519325,mRNA-vaccine,phase1-clinical,phase1-clinical,preclinical-invivo
40700574,mRNA-vaccine,preclinical-invivo,preclinical-invivo,preclinical-invivo
41088223,mRNA-vaccine,preclinical-invivo,preclinical-invivo,preclinical-invivo
41760870,mRNA-vaccine,preclinical-invivo,preclinical-invivo,preclinical-invivo
35265614,mRNA-vaccine,,,theoretical
35818395,mRNA-vaccine,,,theoretical
36245631,mRNA-vaccine,,,theoretical
36405755,mRNA-vaccine,,,theoretical
36671475,mRNA-vaccine,,,theoretical
37428918,mRNA-vaccine,,preclinical-invivo,preclinical-invivo
38514186,mRNA-vaccine,,preclinical-invivo,clinical-other
40432113,mRNA-vaccine,,,theoretical
41377431,mRNA-vaccine,,,none-applicable
41662350,mRNA-vaccine,,,theoretical
25928327,electrochemical-therapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
27693939,electrochemical-therapy,preclinical-invivo,preclinical-invivo,preclinical-invitro
