pmid,title,year,journal,missing_kind,is_oa,oa_status,pmcid,oa_url,path
10099164,Treatment of localised prostate cancer with transrectal high intensity focused ultrasound.,1999,European journal of ultrasound : official journal of the European Federation of Societies for Ultrasound in Medicine and Biology,paywalled,False,closed,,,corpus/by-pmid/10099164.md
10194560,Correlation between pulsed electromagnetic fields exposure time and cell proliferation increase in human osteosarcoma cell lines and human normal osteoblast cells in vitro.,1999,Bioelectromagnetics,paywalled,False,closed,,,corpus/by-pmid/10194560.md
1020398,[Molecular mechanisms of the biological effects of UV radiation].,1976,Zeitschrift fur die gesamte innere Medizin und ihre Grenzgebiete,paywalled,False,unknown,,,corpus/by-pmid/1020398.md
10228807,Electrochemical therapy in palliative treatment of malignant dysphagia: a pilot study.,1999,Hepato-gastroenterology,paywalled,False,unknown,,,corpus/by-pmid/10228807.md
10334534,Estrogen replacement therapy after localized breast cancer: clinical outcome of 319 women followed prospectively.,1999,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/10334534.md
10340555,In situ gene therapy for adenocarcinoma of the prostate: a phase I clinical trial.,1999,Human gene therapy,paywalled,False,closed,,,corpus/by-pmid/10340555.md
10360825,Synergistic interaction of ultrasonic shock waves and hyperthermia in the Dunning prostate tumor R3327-AT1.,1999,International journal of cancer,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/%28SICI%291097-0215%2819990702%2982%3A1%3C84%3A%3AAID-IJC15%3E3.0.CO%3B2-N,corpus/by-pmid/10360825.md
10458255,Implementing guidelines for cancer pain management: results of a randomized controlled clinical trial.,1999,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/10458255.md
10537292,Induction of immunity to prostate cancer antigens: results of a clinical trial of vaccination with irradiated autologous prostate tumor cells engineered to secrete granulocyte-macrophage colony-stimulating factor using ex vivo gene transfer.,1999,Cancer research,paywalled,False,unknown,,,corpus/by-pmid/10537292.md
10561274,Genetic prodrug activation therapy for breast cancer: A phase I clinical trial of erbB-2-directed suicide gene expression.,1999,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/10561274.md
