pmid,title,status,source,path
15072597,Treatment efficiency of a suicide gene therapy using prostate-specific membrane antigen promoter/enhancer in a castrated mouse model of prostate cancer.,still_missing,http_403,corpus/by-pmid/15072597.md
15259065,Analysis of clinical effect of high-intensity focused ultrasound on liver cancer.,still_missing,http_403,corpus/by-pmid/15259065.md
15845798,Image-guided tumor ablation: standardization of terminology and reporting criteria.,still_missing,http_403,corpus/by-pmid/15845798.md
17419708,"Sonodynamic therapy of cancer using a novel porphyrin derivative, DCPH-P-Na(I), which is devoid of photosensitivity.",still_missing,http_403,corpus/by-pmid/17419708.md
18596380,Low-intensity alternating electric fields: a potentially safe and effective treatment of cancer?,still_missing,http_403,corpus/by-pmid/18596380.md
20159824,Phase I clinical trial of the CYP17 inhibitor abiraterone acetate demonstrating clinical activity in patients with castration-resistant prostate cancer who received prior ketoconazole therapy.,recovered,oa_url_html,corpus/by-pmid/20159824.md
20340017,Pulsed electromagnetic field therapy results in healing of full thickness articular cartilage defect.,recovered,oa_url_html,corpus/by-pmid/20340017.md
21603311,High intensity focused ultrasound in clinical tumor ablation.,still_missing,http_403,corpus/by-pmid/21603311.md
22684834,Salvage radiotherapy after high intensity focused ultrasound for prostate cancer.,still_missing,http_403,corpus/by-pmid/22684834.md
23144340,"Conservative treatment of a recto-urethral fistula due to salvage HIFU for local recurrence of prostate cancer, 5 years after radical prostatectomy and external beam radiotherapy.",still_missing,http_403,corpus/by-pmid/23144340.md
23199931,A three-dimensional in vitro tumor platform for modeling therapeutic irreversible electroporation.,still_missing,http_403,corpus/by-pmid/23199931.md
23233719,Randomized phase III placebo-controlled trial of letrozole plus oral temsirolimus as first-line endocrine therapy in postmenopausal women with locally advanced or metastatic breast cancer.,still_missing,http_403,corpus/by-pmid/23233719.md
23254777,Looking to the future of cancer immunotherapy: many questions to answer and many therapeutic opportunities.,recovered,oa_url_pdf,corpus/by-pmid/23254777.md
23403455,High-intensity focused ultrasound: advances in technology and experimental trials support enhanced utility of focused ultrasound surgery in oncology.,recovered,oa_url_html,corpus/by-pmid/23403455.md
23792568,Off-label use of cetuximab plus sorafenib and panitumumab plus regorafenib to personalize therapy for a patient with V600E BRAF-mutant metastatic colon cancer.,still_missing,http_403,corpus/by-pmid/23792568.md
23792576,Homologous recombination-based adenovirus vector system for tumor cell-specific gene delivery.,still_missing,http_403,corpus/by-pmid/23792576.md
23955682,Activation of local and systemic anti-tumor immune responses by ablation of solid tumors with intratumoral electrochemical or alpha radiation treatments.,recovered,oa_url_html,corpus/by-pmid/23955682.md
24225203,Mitochondrial targeting of α-tocopheryl succinate enhances its anti-mesothelioma efficacy.,still_missing,http_403,corpus/by-pmid/24225203.md
24345078,New insights into pharmacological tools to TR(i)P cancer up.,still_missing,http_403,corpus/by-pmid/24345078.md
24412820,Irreversible electroporation: evolution of a laboratory technique in interventional oncology.,still_missing,oa_url_html_unreadable,corpus/by-pmid/24412820.md
24419115,Neoadjuvant chemotherapy without routine use of radiation therapy for patients with locally advanced rectal cancer: a pilot trial.,still_missing,http_403,corpus/by-pmid/24419115.md
24605025,Management of borderline and locally advanced pancreatic cancer: where do we stand?,still_missing,http_403,corpus/by-pmid/24605025.md
24605026,Systematic review of novel ablative methods in locally advanced pancreatic cancer.,still_missing,http_403,corpus/by-pmid/24605026.md
24796928,Transforming growth factor-β induced Warburg-like metabolic reprogramming may underpin the development of peritoneal endometriosis.,still_missing,http_403,corpus/by-pmid/24796928.md
24882814,Endogenous bioelectrical networks store non-genetic patterning information during development and regeneration.,still_missing,http_403,corpus/by-pmid/24882814.md
24927329,Image-guided tumor ablation: standardization of terminology and reporting criteria--a 10-year update.,still_missing,oa_url_html_unreadable,corpus/by-pmid/24927329.md
25071354,Safety trial of high-intensity focused ultrasound therapy for pancreatic cancer.,still_missing,http_403,corpus/by-pmid/25071354.md
25205025,Image-guided focal therapy for prostate cancer.,recovered,oa_url_html,corpus/by-pmid/25205025.md
25412401,"A pilot randomized trial evaluating lymphedema self-measurement with bioelectrical impedance, self-care adherence, and health outcomes.",recovered,oa_url_html,corpus/by-pmid/25412401.md
25469016,High intensity focused ultrasound: a noninvasive therapy for locally advanced pancreatic cancer.,still_missing,http_403,corpus/by-pmid/25469016.md
25483649,Active specific immunotherapy: using tumor heterogeneity to successfully fight cancer.,still_missing,http_403,corpus/by-pmid/25483649.md
25493228,Breast cancer as photodynamic therapy target: Enhanced therapeutic efficiency by overview of tumor complexity.,still_missing,http_403,corpus/by-pmid/25493228.md
25586689,"First-in-man phase 1 clinical trial of gene therapy for advanced pancreatic cancer: safety, biodistribution, and preliminary clinical findings.",still_missing,http_403,corpus/by-pmid/25586689.md
25847929,"Phase II Study of Gemcitabine, Carboplatin, and Iniparib As Neoadjuvant Therapy for Triple-Negative and BRCA1/2 Mutation-Associated Breast Cancer With Assessment of a Tumor-Based Measure of Genomic Instability: PrECOG 0105.",still_missing,http_403,corpus/by-pmid/25847929.md
25847936,TBCRC009: A Multicenter Phase II Clinical Trial of Platinum Monotherapy With Biomarker Assessment in Metastatic Triple-Negative Breast Cancer.,still_missing,http_403,corpus/by-pmid/25847936.md
2629997,Pulsed electromagnetic (short-wave) energy therapy.,still_missing,http_403,corpus/by-pmid/2629997.md
26390181,Mycobacterium indicus pranii (Mw) inhibits invasion by reducing matrix metalloproteinase (MMP-9) via AKT/ERK-1/2 and PKCα signaling: A potential candidate in melanoma cancer therapy.,still_missing,http_403,corpus/by-pmid/26390181.md
26870371,Clinical outcome of immunotherapy with dendritic cell vaccine and cytokine-induced killer cell therapy in hepatobiliary and pancreatic cancer.,recovered,oa_url_pdf,corpus/by-pmid/26870371.md
27076281,Assessment of early response to tumor-treating fields in newly diagnosed glioblastoma using physiologic and metabolic MRI: initial experience.,recovered,oa_url_html,corpus/by-pmid/27076281.md
27177573,The cost-effectiveness of tumor-treating fields therapy in patients with newly diagnosed glioblastoma.,still_missing,http_403,corpus/by-pmid/27177573.md
27298410,"Talimogene Laherparepvec in Combination With Ipilimumab in Previously Untreated, Unresectable Stage IIIB-IV Melanoma.",recovered,oa_url_html,corpus/by-pmid/27298410.md
27382117,Living in a material world: tumor-treating fields at the top of the charts.,still_missing,http_403,corpus/by-pmid/27382117.md
27392540,Selective Disruption of Respiratory Supercomplexes as a New Strategy to Suppress Her2high Breast Cancer.,still_missing,http_403,corpus/by-pmid/27392540.md
27448221,"Enhancement of hyperthermia-induced apoptosis by 5Z-7-oxozeaenol, a TAK1 inhibitor, in A549 cells.",recovered,oa_url_html,corpus/by-pmid/27448221.md
27471616,Contribution of RIP3 and MLKL to immunogenic cell death signaling in cancer chemotherapy.,still_missing,http_403,corpus/by-pmid/27471616.md
27694443,Balancing Selectivity and Efficacy of Bispecific Epidermal Growth Factor Receptor (EGFR) × c-MET Antibodies and Antibody-Drug Conjugates.,still_missing,http_403,corpus/by-pmid/27694443.md
27699275,Synergy of radiotherapy and PD-1 blockade in Kras-mutant lung cancer.,recovered,oa_url_pdf,corpus/by-pmid/27699275.md
27743027,Rationale and evidence to combine radiation therapy and immunotherapy for cancer treatment.,recovered,oa_url_html,corpus/by-pmid/27743027.md
27747085,Biomarkers for immune therapy in colorectal cancer: mismatch-repair deficiency and others.,still_missing,oa_url_pdf_unreadable,corpus/by-pmid/27747085.md
28034064,Impact of Intensity-Modulated Radiation Therapy Technique for Locally Advanced Non-Small-Cell Lung Cancer: A Secondary Analysis of the NRG Oncology RTOG 0617 Randomized Clinical Trial.,still_missing,oa_url_html_unreadable,corpus/by-pmid/28034064.md
