pmid,year,title,descriptors,regex_inhibitor,adjudicated,reason
31034781,2019,Curcumin reduces renal damage associated with rhabdomyolysis by decreasing ferroptosis-mediated cell death.,acute kidney injury,True,harm,curcumin reduces renal damage by decreasing ferroptotic death
33166595,2021,Research mechanisms of and pharmaceutical treatments for ferroptosis in liver diseases.,chemical and drug induced liver injury,False,review,overview of ferroptosis and its pharmacological blockade in liver disease
34285231,2021,Dysfunction of the key ferroptosis-surveilling systems hypersensitizes mice to tubular necrosis during acute kidney injury.,acute kidney injury,False,harm,loss of ferroptosis surveillance hypersensitises mice to tubular necrosis
34296293,2021,Transcriptional activation of ENPP2 by FoxO4 protects cardiomyocytes from doxorubicin‑induced toxicity.,cardiotoxicity,False,harm,ENPP2/FoxO4 protects cardiomyocytes from doxorubicin injury
35265258,2022,Inhibition of the NADPH Oxidase Pathway Reduces Ferroptosis during Septic Renal Injury in Diabetic Mice.,acute kidney injury,True,harm,NADPH-oxidase inhibition reduces ferroptosis in septic renal injury
35279512,2022,Mitochondria-derived reactive oxygen species are involved in renal cell ferroptosis during lipopolysaccharide-induced acute kidney injury.,acute kidney injury,True,harm,mitochondrial ROS drive renal cell ferroptosis in LPS-induced AKI
35577350,2022,Preliminary study on 24p3 / neutrophil gelatinase-associated lipocalin (NGAL) ferroptosis inhibition in renal tubular epithelial cells.,acute kidney injury,True,harm,NGAL-mediated ferroptosis inhibition in renal tubular cells
35775122,2022,Lysine-specific demethylase 1 aggravated oxidative stress and ferroptosis induced by renal ischemia and reperfusion injury through activation of TLR4/NOX4 pathway in mice.,acute kidney injury,False,harm,LSD1 aggravates ferroptosis in renal ischaemia-reperfusion injury
35986536,2023,Mitochondrial Translocation of P66Shc Aggravates Cisplatin-induced AKI by Promoting Ferroptosis.,acute kidney injury,False,harm,P66Shc aggravates cisplatin AKI by promoting ferroptosis
36154307,2022,The effects of acrylamide-mediated dorsal root ganglion neurons injury on ferroptosis.,neurotoxicity syndromes,True,harm,acrylamide-mediated dorsal root ganglion injury proceeds by ferroptosis
36244460,2022,Asiatic acid alleviates LPS-induced acute kidney injury in broilers by inhibiting oxidative stress and ferroptosis via activation of the Nrf2 pathway.,acute kidney injury,False,harm,asiatic acid alleviates LPS-AKI by inhibiting ferroptosis
36437551,2023,Ginsenoside Rd Inhibited Ferroptosis to Alleviate CCl4-Induced Acute Liver Injury in Mice via cGAS/STING Pathway.,chemical and drug induced liver injury,False,harm,ginsenoside Rd inhibits ferroptosis to alleviate CCl4 liver injury
37119863,2023,Lycium barbarum polysaccharide-glycoprotein ameliorates ionizing radiation-induced epithelial injury by regulating oxidative stress and ferroptosis via the Nrf2 pathway.,drug-related side effects and adverse reactions,False,harm,polysaccharide ameliorates radiation epithelial injury by regulating ferroptosis
37354967,2023,Baicalein ameliorates polymyxin B-induced acute renal injury by inhibiting ferroptosis via regulation of SIRT1/p53 acetylation.,acute kidney injury,False,harm,baicalein ameliorates polymyxin B renal injury by inhibiting ferroptosis
37364691,2023,Aloe-emodin alleviates doxorubicin-induced cardiotoxicity via inhibition of ferroptosis.,cardiotoxicity,False,harm,aloe-emodin alleviates doxorubicin cardiotoxicity via ferroptosis inhibition
37516014,2023,WBP2 restrains the lysosomal degradation of GPX4 to inhibit ferroptosis in cisplatin-induced acute kidney injury.,acute kidney injury,False,harm,WBP2 restrains GPX4 degradation to inhibit ferroptosis in cisplatin AKI
38024532,2023,Shenshuaifu Granule Attenuates Acute Kidney Injury by Inhibiting Ferroptosis Mediated by p53/SLC7A11/GPX4 Pathway.,acute kidney injury,False,harm,granule attenuates AKI by inhibiting p53/SLC7A11/GPX4 ferroptosis
38518851,2024,Selenium binding protein 1 protects renal tubular epithelial cells from ferroptosis by upregulating glutathione peroxidase 4.,acute kidney injury,False,harm,SELENBP1 protects renal tubular cells from ferroptosis
38593619,2024,Ginsenoside Rb1 attenuates doxorubicin induced cardiotoxicity by suppressing autophagy and ferroptosis.,cardiotoxicity,False,harm,ginsenoside Rb1 attenuates doxorubicin cardiotoxicity by suppressing ferroptosis
38644733,2024,Cadmium aggravates liver injury by activating ferroptosis and neutrophil extracellular traps formation in Nile tilapia (Oreochromis niloticus).,chemical and drug induced liver injury,False,harm,cadmium aggravates liver injury by activating ferroptosis
39042632,2024,Exploring the role of ferroptosis-related genes as biomarkers in acute kidney injury.,acute kidney injury,False,harm,ferroptosis-related genes as biomarkers of acute kidney injury
39053765,2024,Iron metabolism in doxorubicin-induced cardiotoxicity: From mechanisms to therapies.,cardiotoxicity,False,review,review of iron metabolism in doxorubicin cardiotoxicity
39386217,2024,GSTT1/GSTM1 deficiency aggravated cisplatin-induced acute kidney injury via ROS-triggered ferroptosis.,acute kidney injury,False,harm,GST deficiency aggravates cisplatin AKI via ferroptosis
39488760,2024,Overexpression of Nfs1 Cysteine Desulphurase Relieves Sevoflurane-Induced Neurotoxicity and Cognitive Dysfunction in Neonatal Mice Via Suppressing Oxidative Stress and Ferroptosis.,neurotoxicity syndromes,False,harm,Nfs1 overexpression relieves sevoflurane neurotoxicity
39544009,2025,Fortunellin attenuates sepsis-induced acute kidney injury by inhibiting inflammation and ferroptosis via the TLR4/NF-κB pathway.,acute kidney injury,False,harm,fortunellin attenuates septic AKI by inhibiting ferroptosis
39557743,2024,ALKBH5 insufficiency protects against ferroptosis-driven cisplatin-induced renal cytotoxicity.,acute kidney injury,False,harm,ALKBH5 insufficiency protects against ferroptosis-driven cisplatin injury
39645202,2025,Protective effect of thymoquinone against doxorubicin-induced cardiotoxicity and the underlying mechanism.,cardiotoxicity,False,harm,thymoquinone protective against doxorubicin cardiotoxicity
39684253,2024,Syzygium aromaticum Extract Mitigates Doxorubicin-Induced Hepatotoxicity in Male Rats.,chemical and drug induced liver injury,False,harm,plant extract mitigates doxorubicin hepatotoxicity
39947536,2025,Perillaldehyde ameliorates sepsis-associated acute kidney injury via inhibiting HSP90AA1-mediated ferroptosis and pyroptosis: Molecular structure and protein interaction of HSP90AA1.,acute kidney injury,False,harm,perillaldehyde ameliorates septic AKI by inhibiting ferroptosis
40023585,2025,Protective effect of 2-hydroxyestrone and 2-hydroxyestradiol against chemically induced hepatotoxicity in vitro and in vivo.,chemical and drug induced liver injury,False,harm,oestrogen metabolites protect against chemical hepatotoxicity
40086679,2025,Selenium-enriched Bacillus subtilis attenuates emamectin benzoate-induced liver injury in grass carp through inhibiting inflammation and ferroptosis via activating Nrf2 signaling pathway.,chemical and drug induced liver injury,False,harm,Se-Bacillus attenuates liver injury by inhibiting ferroptosis
40476545,2025,Sesamin Alleviates Ferroptosis in Perfluorooctanesulfonate-Induced Liver Injury by Targeting Foxo1.,chemical and drug induced liver injury,False,harm,sesamin alleviates PFOS liver injury by relieving ferroptosis
40663488,2025,NSD1-916aa encoded by CircNSD1 contributes to AKI-to-CKD transition through inducing ferroptosis in tubular epithelial cells.,acute kidney injury,False,harm,CircNSD1 drives AKI-to-CKD transition by inducing ferroptosis
40744345,2025,Systemic aldehyde storm induced by allyl alcohol exposure results in extensive hepatic ferroptosis in Aldh2∗2 knock-in mice.,chemical and drug induced liver injury,False,harm,allyl-alcohol aldehyde load drives hepatic ferroptosis
40840653,2025,Activation of aryl hydrocarbon receptor alleviates sepsis by promoting Nuclear Factor Erythroid 2-related Factor 2 expression to inhibit ferroptosis.,acute kidney injury,False,harm,AhR activation inhibits ferroptosis to alleviate sepsis
40914538,2025,"Formoterol, a clinically approved drug, inhibits ferroptosis by suppressing lipid peroxidation and attenuates APAP-induced acute liver injury.",chemical and drug induced liver injury,False,harm,"formoterol inhibits ferroptosis, attenuating APAP liver injury"
