pmid,title,year,journal,missing_kind,is_oa,oa_status,pmcid,oa_url,path
10360825,Synergistic interaction of ultrasonic shock waves and hyperthermia in the Dunning prostate tumor R3327-AT1.,1999,International journal of cancer,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/%28SICI%291097-0215%2819990702%2982%3A1%3C84%3A%3AAID-IJC15%3E3.0.CO%3B2-N,corpus/by-pmid/10360825.md
12023044,Enhancement of radiation response in human cervical cancer cells in vitro and in vivo by arsenic trioxide (As2O3).,2002,FEBS letters,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/S0014-5793%2802%2902765-5,corpus/by-pmid/12023044.md
12153624,Use of electrolysis as an adjunct to liver resection.,2002,The British journal of surgery,open access,True,bronze,,https://academic.oup.com/bjs/article-pdf/89/8/999/36726720/bjs319.pdf,corpus/by-pmid/12153624.md
15051755,Abbreviated course of radiation therapy in older patients with glioblastoma multiforme: a prospective randomized clinical trial.,2004,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2004.06.082?role=tab,corpus/by-pmid/15051755.md
15072597,Treatment efficiency of a suicide gene therapy using prostate-specific membrane antigen promoter/enhancer in a castrated mouse model of prostate cancer.,2004,Cancer science,open access,True,bronze,PMC11159212,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1349-7006.2004.tb03217.x,corpus/by-pmid/15072597.md
15126372,Disruption of cancer cell replication by alternating electric fields.,2004,Cancer research,open access,True,bronze,,https://aacrjournals.org/cancerres/article-pdf/64/9/3288/2529860/zch00904003288.pdf,corpus/by-pmid/15126372.md
15213104,Cancer chemoprevention by the antioxidant tempol in Atm-deficient mice.,2004,Human molecular genetics,open access,True,bronze,,https://academic.oup.com/hmg/article-pdf/13/16/1793/1960461/ddh189.pdf,corpus/by-pmid/15213104.md
15259065,Analysis of clinical effect of high-intensity focused ultrasound on liver cancer.,2004,World journal of gastroenterology,open access,True,hybrid,PMC4724968,https://www.wjgnet.com/1007-9327/full/v10/i15/2201.htm,corpus/by-pmid/15259065.md
15292285,Clinical review 170: A systematic review and metaanalysis of the effectiveness of radioactive iodine remnant ablation for well-differentiated thyroid cancer.,2004,The Journal of clinical endocrinology and metabolism,open access,True,bronze,,https://academic.oup.com/jcem/article-pdf/89/8/3668/9144155/jcem3668.pdf,corpus/by-pmid/15292285.md
15738535,"Significantly higher pathologic complete remission rate after neoadjuvant therapy with trastuzumab, paclitaxel, and epirubicin chemotherapy: results of a randomized trial in human epidermal growth factor receptor 2-positive operable breast cancer.",2005,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2005.07.032?role=tab,corpus/by-pmid/15738535.md
15845798,Image-guided tumor ablation: standardization of terminology and reporting criteria.,2005,Radiology,open access,True,green,PMC3406173,http://nrs.harvard.edu/urn-3:HUL.InstRepos:33884318,corpus/by-pmid/15845798.md
15920329,Endoscopic perductal electrolytic ablation of the pancreas: experimental studies of morbidity and mortality.,2005,"Digestive diseases (Basel, Switzerland)",open access,True,bronze,,https://www.karger.com/Article/Pdf/84730,corpus/by-pmid/15920329.md
15947040,Image-guided tumor ablation: standardization of terminology and reporting criteria.,2005,Journal of vascular and interventional radiology : JVIR,open access,True,bronze,,http://www.jvir.org/article/S1051044307606812/pdf,corpus/by-pmid/15947040.md
16613519,DH-I-180-3-mediated photodynamic therapy: biodistribution and tumor vascular damage.,2006,Photochemistry and photobiology,open access,True,green,,https://ir.ymlib.yonsei.ac.kr/handle/22282913/108751,corpus/by-pmid/16613519.md
16831068,High-intensity focused ultrasound: a potential salvage treatment for recurrent prostate cancer following radiotherapy.,2006,Expert review of anticancer therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.1586/14737140.6.7.969?needAccess=true,corpus/by-pmid/16831068.md
16880732,"Pheophorbide a, an active compound isolated from Scutellaria barbata, possesses photodynamic activities by inducing apoptosis in human hepatocellular carcinoma.",2006,Cancer biology & therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.4161/cbt.5.9.2950?needAccess=true,corpus/by-pmid/16880732.md
16985057,Potential use of alexidine dihydrochloride as an apoptosis-promoting anticancer agent.,2006,Molecular cancer therapeutics,open access,True,bronze,,https://aacrjournals.org/mct/article-pdf/5/9/2234/1873837/2234.pdf,corpus/by-pmid/16985057.md
17000693,Benzethonium chloride: a novel anticancer agent identified by using a cell-based small-molecule screen.,2006,Clinical cancer research : an official journal of the American Association for Cancer Research,open access,True,bronze,,https://aacrjournals.org/clincancerres/article-pdf/12/18/5557/1965656/5557.pdf,corpus/by-pmid/17000693.md
17224645,Bcl2/bcl-xL inhibitor engenders apoptosis and increases chemosensitivity in mesothelioma.,2007,Cancer biology & therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.4161/cbt.6.2.3626?needAccess=true,corpus/by-pmid/17224645.md
17363137,Use of hecate-chorionic gonadotropin beta conjugate in therapy of lutenizing hormone receptor expressing gonadal somatic cell tumors.,2007,Molecular and cellular endocrinology,open access,True,green,,https://hal.science/hal-00531905,corpus/by-pmid/17363137.md
17363490,Combined targeting of epidermal growth factor receptor and hedgehog signaling by gefitinib and cyclopamine cooperatively improves the cytotoxic effects of docetaxel on metastatic prostate cancer cells.,2007,Molecular cancer therapeutics,open access,True,bronze,,https://aacrjournals.org/mct/article-pdf/6/3/967/1876852/967.pdf,corpus/by-pmid/17363490.md
17419708,"Sonodynamic therapy of cancer using a novel porphyrin derivative, DCPH-P-Na(I), which is devoid of photosensitivity.",2007,Cancer science,open access,True,bronze,PMC11159730,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1349-7006.2007.00468.x,corpus/by-pmid/17419708.md
17426335,A comparison of adiposity measures as predictors of all-cause mortality: the Melbourne Collaborative Cohort Study.,2007,"Obesity (Silver Spring, Md.)",open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1038/oby.2007.622,corpus/by-pmid/17426335.md
17606975,"Phase II clinical trial of ixabepilone (BMS-247550), an epothilone B analog, in patients with taxane-resistant metastatic breast cancer.",2007,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2006.08.9102?role=tab,corpus/by-pmid/17606975.md
17615530,High-intensity focused ultrasound (HIFU) for prostate cancer.,2007,Cancer control : journal of the Moffitt Cancer Center,open access,True,bronze,,https://journals.sagepub.com/doi/pdf/10.1177/107327480701400307,corpus/by-pmid/17615530.md
17668934,Mathematical modeling of irreversible electroporation for treatment planning.,2007,Technology in cancer research & treatment,open access,True,bronze,,https://journals.sagepub.com/doi/pdf/10.1177/153303460700600403,corpus/by-pmid/17668934.md
18281673,Biomarkers of response to epidermal growth factor receptor inhibitors in Non-Small-Cell Lung Cancer Working Group: standardization for use in the clinical trial setting.,2008,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2007.12.9858?role=tab,corpus/by-pmid/18281673.md
18596380,Low-intensity alternating electric fields: a potentially safe and effective treatment of cancer?,2008,Onkologie,open access,True,bronze,PMC2776831,https://www.karger.com/Article/Pdf/140601,corpus/by-pmid/18596380.md
18645193,"Phase I clinical trial of a selective inhibitor of CYP17, abiraterone acetate, confirms that castration-resistant prostate cancer commonly remains hormone driven.",2008,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2007.15.9749?role=tab,corpus/by-pmid/18645193.md
18670743,"Clinical application of a combination therapy of lentinan, multi-electrode RFA and TACE in HCC.",2008,Advances in therapy,open access,True,bronze,,https://link.springer.com/content/pdf/10.1007/s12325-008-0079-x.pdf,corpus/by-pmid/18670743.md
18813927,A multi-center phase II study of S-1 plus paclitaxel as first-line therapy for patients with advanced or recurrent unresectable gastric cancer.,2009,Cancer chemotherapy and pharmacology,open access,True,green,,https://ir.ymlib.yonsei.ac.kr/handle/22282913/103723,corpus/by-pmid/18813927.md
18820821,Inflammation but no DNA (deoxyribonucleic acid) damage in mice exposed to airborne dust from a biofuel plant.,2008,"Scandinavian journal of work, environment & health",open access,True,hybrid,,https://www.sjweh.fi/download.php?abstract_id=1272&file_nro=1,corpus/by-pmid/18820821.md
18949746,PSA doubling time as a predictor of the outcome of random prostate biopsies prompted by isolated PSA elevation in subjects referred to an outpatient biopsy facility in a routine clinical scenario.,2008,The International journal of biological markers,open access,True,green,,https://doaj.org/article/71697a948f0e4b9183f13cd2b00fede7,corpus/by-pmid/18949746.md
19033573,Systematic pelvic lymphadenectomy vs. no lymphadenectomy in early-stage endometrial carcinoma: randomized clinical trial.,2008,Journal of the National Cancer Institute,open access,True,bronze,,https://academic.oup.com/jnci/article-pdf/100/23/1707/18074831/djn397.pdf,corpus/by-pmid/19033573.md
19270532,Sensitization to gamma-irradiation-induced cell cycle arrest and apoptosis by the histone deacetylase inhibitor trichostatin A in non-small cell lung cancer (NSCLC) cells.,2009,Cancer biology & therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.4161/cbt.8.9.8143?needAccess=true,corpus/by-pmid/19270532.md
19352389,Focal therapy for prostate cancer.,2009,Nature reviews. Urology,open access,True,bronze,,https://www.nature.com/articles/nrurol.2009.52.pdf,corpus/by-pmid/19352389.md
19448394,Influence of E3 region on conditionally replicative adenovirus mediated cytotoxicity in hepatocellular carcinoma cells.,2009,Cancer biology & therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.4161/cbt.8.12.8445?needAccess=true,corpus/by-pmid/19448394.md
