# site	variant	MeSH descriptor
# Resolved from DEEP_RULES in scripts/atlas_site_coverage.py against
# corpus/atlas/mesh/c04-descriptors.tsv. Regenerate with that script.
# `strict` drops animal/induced models and benign or precursor lesions;
# the report publishes both so neither list is taken as the definition.
bladder	deep+strict	urinary bladder neoplasms
brain/CNS	deep+strict	astrocytoma
brain/CNS	deep+strict	brain neoplasms
brain/CNS	deep+strict	central nervous system neoplasms
brain/CNS	deep+strict	cerebral ventricle neoplasms
brain/CNS	deep+strict	craniopharyngioma
brain/CNS	deep+strict	diffuse intrinsic pontine glioma
brain/CNS	deep+strict	ependymoma
brain/CNS	deep+strict	ganglioglioma
brain/CNS	deep+strict	ganglion cysts
brain/CNS	deep+strict	ganglioneuroblastoma
brain/CNS	deep+strict	ganglioneuroma
brain/CNS	deep+strict	glioblastoma
brain/CNS	deep+strict	glioma
brain/CNS	deep+strict	glioma, subependymal
brain/CNS	deep+strict	gliosarcoma
brain/CNS	deep+strict	hypothalamic neoplasms
brain/CNS	deep+strict	infratentorial neoplasms
brain/CNS	deep+strict	medulloblastoma
brain/CNS	deep+strict	meningeal carcinomatosis
brain/CNS	deep+strict	meningeal neoplasms
brain/CNS	deep+strict	meningioma
brain/CNS	deep+strict	nerve sheath neoplasms
brain/CNS	deep+strict	neurocytoma
brain/CNS	deep+strict	neuroectodermal tumors, primitive
brain/CNS	deep+strict	neuroectodermal tumors, primitive, peripheral
brain/CNS	deep+strict	neuroma, acoustic
brain/CNS	deep+strict	oligodendroglioma
brain/CNS	deep+strict	optic nerve glioma
brain/CNS	deep+strict	paraganglioma
brain/CNS	deep+strict	paraganglioma, extra-adrenal
brain/CNS	deep+strict	pinealoma
brain/CNS	deep+strict	pituitary neoplasms
brain/CNS	deep+strict	skull base neoplasms
brain/CNS	deep+strict	spinal cord neoplasms
brain/CNS	deep+strict	supratentorial neoplasms
breast	deep+strict	breast carcinoma in situ
breast	deep	breast cyst
breast	deep+strict	breast neoplasms
breast	deep+strict	breast neoplasms, male
breast	deep+strict	carcinoma, ductal, breast
breast	deep+strict	hereditary breast and ovarian cancer syndrome
breast	deep+strict	inflammatory breast neoplasms
breast	deep+strict	phyllodes tumor
breast	deep+strict	triple negative breast neoplasms
breast	deep+strict	unilateral breast neoplasms
cervix/uterus	deep+strict	choriocarcinoma
cervix/uterus	deep+strict	choriocarcinoma, non-gestational
cervix/uterus	deep+strict	endometrial neoplasms
cervix/uterus	deep+strict	endometrial stromal tumors
cervix/uterus	deep+strict	gestational trophoblastic disease
cervix/uterus	deep+strict	hydatidiform mole
cervix/uterus	deep+strict	hydatidiform mole, invasive
cervix/uterus	deep	leiomyoma
cervix/uterus	deep	leiomyoma, epithelioid
cervix/uterus	deep	leiomyomatosis
cervix/uterus	deep	lymphangioleiomyomatosis
cervix/uterus	deep+strict	sarcoma, endometrial stromal
cervix/uterus	deep+strict	trophoblastic neoplasms
cervix/uterus	deep+strict	trophoblastic tumor, placental site
cervix/uterus	deep	uterine cervical dysplasia
cervix/uterus	deep+strict	uterine cervical neoplasms
cervix/uterus	deep+strict	uterine neoplasms
colorectal	deep+strict	adenomatous polyposis coli
colorectal	deep+strict	anus neoplasms
colorectal	deep+strict	cecal neoplasms
colorectal	deep+strict	colonic neoplasms
colorectal	deep+strict	colorectal neoplasms
colorectal	deep+strict	colorectal neoplasms, hereditary nonpolyposis
colorectal	deep+strict	rectal neoplasms
colorectal	deep+strict	sigmoid neoplasms
head and neck	deep+strict	ameloblastoma
head and neck	deep+strict	ear neoplasms
head and neck	deep+strict	esthesioneuroblastoma, olfactory
head and neck	deep+strict	gingival neoplasms
head and neck	deep+strict	head and neck neoplasms
head and neck	deep+strict	hypopharyngeal neoplasms
head and neck	deep+strict	jaw neoplasms
head and neck	deep+strict	laryngeal neoplasms
head and neck	deep+strict	lip neoplasms
head and neck	deep+strict	mandibular neoplasms
head and neck	deep+strict	maxillary neoplasms
head and neck	deep+strict	maxillary sinus neoplasms
head and neck	deep+strict	mouth neoplasms
head and neck	deep+strict	nasopharyngeal carcinoma
head and neck	deep+strict	nasopharyngeal neoplasms
head and neck	deep+strict	nonodontogenic cysts
head and neck	deep+strict	nose neoplasms
head and neck	deep	odontogenic cyst, calcifying
head and neck	deep+strict	odontogenic cysts
head and neck	deep+strict	odontogenic tumor, squamous
head and neck	deep+strict	odontogenic tumors
head and neck	deep+strict	oropharyngeal neoplasms
head and neck	deep+strict	otorhinolaryngologic neoplasms
