# MeSH tree C04 (Neoplasms) topical descriptors -- the ATLAS cancer definition.
# Source: NLM MeSH SPARQL endpoint, https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
# descriptors: 704
D000008	Abdominal Neoplasms
D000069293	Plasmablastic Lymphoma
D000069295	Mammary Analogue Secretory Carcinoma
D000069584	Unilateral Breast Neoplasms
D000070779	Giant Cell Tumor of Tendon Sheath
D000071380	Fibromatosis, Plantar
D000071960	Breast Carcinoma In Situ
D000074009	Tubular Sweat Gland Adenomas
D000074723	Oncogene Addiction
D000075122	Smoldering Multiple Myeloma
D000075363	Immunoglobulin Light-chain Amyloidosis
D000077192	Adenocarcinoma of Lung
D000077195	Squamous Cell Carcinoma of Head and Neck
D000077207	Chondrosarcoma, Clear Cell
D000077216	Carcinoma, Ovarian Epithelial
D000077273	Thyroid Cancer, Papillary
D000077274	Nasopharyngeal Carcinoma
D000077277	Esophageal Squamous Cell Carcinoma
D000077777	Myopericytoma
D000077779	Pancreatic Intraductal Neoplasms
D000079822	Extranodal Extension
D000080443	Diffuse Intrinsic Pontine Glioma
D000082802	Warburg Effect, Oncologic
D000083023	Colitis-Associated Neoplasms
D000084122	Cardiac Papillary Fibroelastoma
D000086002	Mesothelioma, Malignant
D000093284	Non-Muscle Invasive Bladder Neoplasms
D000096142	Cutaneous Malignant Melanoma
D000098943	Uveal Melanoma
D000099067	Blastic Plasmacytoid Dendritic Cell Neoplasm
D000099313	Non-Melanoma Skin Neoplasms
D000099314	Cutaneous Squamous Cell Carcinoma
D000182	ACTH Syndrome, Ectopic
D000230	Adenocarcinoma
D000231	Adenocarcinoma, Papillary
D000232	Adenofibroma
D000235	Adenolymphoma
D000236	Adenoma
D000237	Adenoma, Basophil
D000238	Adenoma, Chromophobe
D000239	Adenoma, Acidophil
D000306	Adrenal Cortex Neoplasms
D000310	Adrenal Gland Neoplasms
D000314	Adrenal Rest Tumor
D000564	Ameloblastoma
D000694	Anal Gland Neoplasms
D000708	Anaplasia
D000794	Angiokeratoma
D001005	Anus Neoplasms
D001063	Appendiceal Neoplasms
D001079	Apudoma
D001254	Astrocytoma
D001353	Avian Leukosis
D001357	Sarcoma, Avian
D001471	Barrett Esophagus
D001478	Basal Cell Nevus Syndrome
D001650	Bile Duct Neoplasms
D001661	Biliary Tract Neoplasms
D001749	Urinary Bladder Neoplasms
D001752	Blast Crisis
D001845	Bone Cysts
D001859	Bone Neoplasms
D001913	Bowen's Disease
D001932	Brain Neoplasms
D001935	Branchioma
D001943	Breast Neoplasms
D001948	Brenner Tumor
D001984	Bronchial Neoplasms
D001994	Bronchogenic Cyst
D002051	Burkitt Lymphoma
D002275	Carcinoid Heart Disease
D002276	Carcinoid Tumor
D002277	Carcinoma
D002278	Carcinoma in Situ
D002279	Carcinoma 256, Walker
D002280	Basal Cell Carcinoma
D002281	Carcinoma, Basosquamous
D002282	Adenocarcinoma, Bronchiolo-Alveolar
D002283	Carcinoma, Bronchogenic
D002284	Carcinoma, Brown-Pearce
D002285	Carcinoma, Intraductal, Noninfiltrating
D002286	Carcinoma, Ehrlich Tumor
D002287	Carcinoma, Krebs 2
D002288	Adenocarcinoma, Mucinous
D002289	Carcinoma, Non-Small-Cell Lung
D002291	Carcinoma, Papillary
D002292	Carcinoma, Renal Cell
D002293	Adenocarcinoma, Scirrhous
D002294	Carcinoma, Squamous Cell
D002295	Carcinoma, Transitional Cell
D002296	Carcinosarcoma
D002345	Carotid Body Tumor
D002430	Cecal Neoplasms
D002471	Cell Transformation, Neoplastic
D002472	Cell Transformation, Viral
D002485	Cementoma
D002528	Cerebellar Neoplasms
D002551	Cerebral Ventricle Neoplasms
D002578	Uterine Cervical Dysplasia
D002583	Uterine Cervical Neoplasms
D002759	Adenoma, Bile Duct
D002804	Chondroblastoma
D002812	Chondroma
D002813	Chondrosarcoma
D002817	Chordoma
D002820	Hydatidiform Mole, Invasive
D002822	Choriocarcinoma
D002830	Choroid Neoplasms
D003043	Cocarcinogenesis
D003110	Colonic Neoplasms
D003123	Colorectal Neoplasms, Hereditary Nonpolyposis
D003138	Common Bile Duct Neoplasms
D003230	Conjunctival Neoplasms
D003390	Cranial Nerve Neoplasms
D003397	Craniopharyngioma
D003528	Carcinoma, Adenoid Cystic
D003536	Cystadenocarcinoma
D003537	Cystadenoma
D003557	Phyllodes Tumor
D003560	Cysts
D003803	Dentigerous Cyst
D003884	Dermoid Cyst
D003969	Vipoma
D004067	Digestive System Neoplasms
D004379	Duodenal Neoplasms
D004387	Dupuytren Contracture
D004407	Dysgerminoma
D004416	Dysplastic Nevus Syndrome
D004428	Ear Neoplasms
D004701	Endocrine Gland Neoplasms
D004806	Ependymoma
D004814	Epidermal Cyst
D004915	Leukemia, Erythroblastic, Acute
D004919	Erythroplasia
D004934	Esophageal Cyst
D004938	Esophageal Neoplasms
D005097	Exostoses, Multiple Hereditary
D005134	Eye Neoplasms
D005142	Eyelid Neoplasms
D005153	Facial Neoplasms
D005185	Fallopian Tube Neoplasms
D005266	Femoral Neoplasms
D005350	Fibroma
D005354	Fibrosarcoma
D005497	Follicular Cyst
D005706	Gallbladder Neoplasms
D005729	Ganglioneuroma
D005736	Gardner Syndrome
D005770	Gastrointestinal Neoplasms
D005833	Genital Neoplasms, Female
D005834	Genital Neoplasms, Male
D005870	Giant Cell Tumors
D005887	Gingival Neoplasms
D005909	Glioblastoma
D005910	Glioma
D005918	Glomus Tumor
D005925	Glomus Jugulare Tumor
D005935	Glucagonoma
D006106	Granulosa Cell Tumor
D006222	Hamartoma
D006223	Hamartoma Syndrome, Multiple
D006258	Head and Neck Neoplasms
D006338	Heart Neoplasms
D006390	Hemangioendothelioma
D006391	Hemangioma
D006392	Hemangioma, Cavernous
D006393	Hemangiopericytoma
D006394	Hemangiosarcoma
D006528	Carcinoma, Hepatocellular
D006607	Adenoma, Sweat Gland
D006689	Hodgkin Disease
D006828	Hydatidiform Mole
D007012	Hypopharyngeal Neoplasms
D007029	Hypothalamic Neoplasms
D007078	Ileal Neoplasms
D007161	Immunoproliferative Small Intestinal Disease
D007340	Insulinoma
D007414	Intestinal Neoplasms
D007516	Adenoma, Islet Cell
D007570	Jaw Cysts
D007573	Jaw Neoplasms
D007580	Jejunal Neoplasms
D007680	Kidney Neoplasms
D007725	Krukenberg Tumor
D007822	Laryngeal Neoplasms
D007889	Leiomyoma
D007890	Leiomyosarcoma
D007938	Leukemia
D007939	Leukemia L1210
D007940	Leukemia L5178
D007941	Leukemia P388
D007942	Leukemia, Experimental
D007943	Leukemia, Hairy Cell
D007945	Leukemia, Lymphoid
D007946	Leukemia, Mast-Cell
D007947	Leukemia, Megakaryoblastic, Acute
D007948	Leukemia, Monocytic, Acute
D007951	Leukemia, Myeloid
D007952	Leukemia, Plasma Cell
D007953	Leukemia, Radiation-Induced
D007971	Leukoplakia
D007972	Leukoplakia, Oral
D007984	Leydig Cell Tumor
D008039	Linitis Plastica
D008048	Lip Neoplasms
D008067	Lipoma
D008080	Liposarcoma
D008113	Liver Neoplasms
D008114	Liver Neoplasms, Experimental
D008175	Lung Neoplasms
D008202	Lymphangioma
D008203	Lymphangiomyoma
D008204	Lymphangiosarcoma
D008207	Lymphatic Metastasis
D008210	Lymphocele
D008223	Lymphoma
D008224	Lymphoma, Follicular
D008228	Lymphoma, Non-Hodgkin
D008230	Lymphomatoid Granulomatosis
D008258	Waldenstrom Macroglobulinemia
D008303	Malignant Carcinoid Syndrome
D008325	Mammary Neoplasms, Experimental
D008339	Mandibular Neoplasms
D008415	Mastocytosis
D008441	Maxillary Neoplasms
D008444	Maxillary Sinus Neoplasms
D008476	Mediastinal Cyst
D008479	Mediastinal Neoplasms
D008527	Medulloblastoma
D008539	Meigs Syndrome
D008545	Melanoma
D008546	Melanoma, Experimental
D008577	Meningeal Neoplasms
D008579	Meningioma
D008637	Mesenchymoma
D008639	Mesenteric Cyst
D008649	Mesonephroma
D008654	Mesothelioma
D008949	Adenoma, Pleomorphic
D009062	Mouth Neoplasms
D009078	Mucocele
D009101	Multiple Myeloma
D009157	Myasthenia Gravis
D009182	Mycosis Fungoides
D009188	Myelitis, Transverse
D009208	Myoepithelioma
D009214	Myoma
D009217	Myosarcoma
D009232	Myxoma
D009236	Myxosarcoma
D009303	Nasopharyngeal Neoplasms
D009347	Nelson Syndrome
D009360	Neoplastic Cells, Circulating
D009361	Neoplasm Invasiveness
D009362	Neoplasm Metastasis
D009364	Neoplasm Recurrence, Local
D009365	Neoplasm Regression, Spontaneous
D009366	Neoplasm Seeding
D009369	Neoplasms
D009370	Neoplasms by Histologic Type
D009371	Neoplasms by Site
D009372	Neoplasms, Connective Tissue
D009373	Neoplasms, Germ Cell and Embryonal
D009374	Neoplasms, Experimental
D009375	Neoplasms, Glandular and Epithelial
D009376	Neoplasms, Hormone-Dependent
D009377	Multiple Endocrine Neoplasia
D009378	Neoplasms, Multiple Primary
D009379	Neoplasms, Muscle Tissue
D009380	Neoplasms, Nerve Tissue
D009381	Neoplasms, Radiation-Induced
D009382	Neoplasms, Unknown Primary
D009383	Neoplasms, Vascular Tissue
D009384	Paraneoplastic Endocrine Syndromes
D009385	Neoplastic Processes
D009386	Neoplastic Syndromes, Hereditary
D009396	Wilms Tumor
D009423	Nervous System Neoplasms
D009442	Neurilemmoma
D009447	Neuroblastoma
D009455	Neurofibroma
D009456	Neurofibromatosis 1
D009463	Neuroma
D009464	Neuroma, Acoustic
D009506	Nevus
D009507	Nevus of Ota
D009508	Nevus, Pigmented
D009631	Nonodontogenic Cysts
D009669	Nose Neoplasms
D009807	Odontogenic Cysts
D009808	Odontogenic Tumors
D009810	Odontoma
D009837	Oligodendroglioma
D009918	Orbital Neoplasms
D009959	Oropharyngeal Neoplasms
D010016	Osteoma
D010017	Osteoma, Osteoid
D010039	Otorhinolaryngologic Neoplasms
D010048	Ovarian Cysts
D010051	Ovarian Neoplasms
D010144	Paget's Disease, Mammary
D010145	Paget Disease, Extramammary
D010157	Palatal Neoplasms
