# MeSH tree C04 (Neoplasms) descriptor -> tree number. One row per pair;
# a descriptor may sit at several nodes. Source: NLM MeSH SPARQL endpoint,
# https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
D000008	C04.588.033
D000069293	C04.557.386.480.150.585.500
D000069295	C04.557.470.200.588
D000069584	C04.588.180.800
D000070779	C04.557.450.565.380.690
D000071380	C04.557.450.565.590.340.705
D000071960	C04.557.470.200.240.187
D000071960	C04.588.180.130
D000074009	C04.557.470.035.175.900
D000074009	C04.557.470.550.175.900
D000074723	C04.697.850
D000075122	C04.834.794
D000075363	C04.557.595.250
D000077192	C04.557.470.200.025.022
D000077192	C04.588.894.797.520.055
D000077195	C04.557.470.200.400.565
D000077195	C04.588.443.177
D000077207	C04.557.450.565.280.140
D000077207	C04.557.450.795.300.140
D000077216	C04.557.470.200.295
D000077216	C04.588.322.455.199
D000077273	C04.557.470.200.025.085.612
D000077273	C04.588.322.894.400
D000077273	C04.588.443.915.400
D000077274	C04.557.470.200.623
D000077274	C04.588.443.665.710.650.500
D000077277	C04.557.470.200.400.330
D000077277	C04.557.470.700.400.565
D000077277	C04.588.274.476.205.500
D000077277	C04.588.443.353.500
D000077777	C04.557.450.565.545
D000077777	C04.557.645.380.500
D000077779	C04.557.470.615.665
D000077779	C04.588.274.761.875
D000077779	C04.588.322.475.875
D000079822	C04.697.650.280
D000080443	C04.557.465.625.600.380.185
D000080443	C04.557.470.670.380.185
D000080443	C04.557.580.625.600.380.185
D000080443	C04.588.614.250.195.411.100.500
D000082802	C04.697.098.500.580
D000083023	C04.588.274.476.411.307.180.400
D000084122	C04.588.894.309.250
D000086002	C04.557.470.035.510.757
D000086002	C04.557.470.660.510.757
D000086002	C04.588.894.797.520.173
D000086002	C04.588.894.797.640.350
D000093284	C04.557.470.200.674
D000093284	C04.588.945.947.960.500
D000096142	C04.557.465.625.650.510.520
D000096142	C04.557.580.625.650.510.520
D000096142	C04.557.665.510.520
D000096142	C04.588.805.444
D000098943	C04.557.465.625.650.510.762
D000098943	C04.557.580.625.650.510.762
D000098943	C04.557.665.510.762
D000098943	C04.588.364.978.312
D000099067	C04.557.227.001
D000099067	C04.557.337.001
D000099067	C04.557.386.001
D000099067	C04.588.448.001
D000099067	C04.588.805.175
D000099313	C04.557.470.200.649
D000099313	C04.588.805.511
D000099314	C04.557.470.200.649.001
D000099314	C04.588.805.511.001
D000182	C04.730.713.317
D000230	C04.557.470.200.025
D000231	C04.557.470.200.025.085
D000232	C04.557.450.565.590.595.050
D000232	C04.557.470.625.050
D000235	C04.557.435.075
D000236	C04.557.470.035
D000237	C04.557.465.625.650.075
D000237	C04.557.470.035.075
D000237	C04.557.580.625.650.075
D000238	C04.557.465.625.650.095
D000238	C04.557.470.035.095
D000238	C04.557.580.625.650.095
D000239	C04.557.465.625.650.025
D000239	C04.557.470.035.025
D000239	C04.557.580.625.650.025
D000306	C04.588.322.078.265
D000310	C04.588.322.078
D000314	C04.557.470.035.232
D000564	C04.557.695.065
D000694	C04.588.083
D000694	C04.588.274.476.411.307.790.040.040
D000708	C04.697.045
D000794	C04.557.645.115
D001005	C04.588.274.476.411.307.790.040
D001063	C04.588.274.476.411.184.290
D001079	C04.557.465.625.650.135
D001079	C04.557.470.035.250
D001079	C04.557.580.625.650.135
D001254	C04.557.465.625.600.380.080
D001254	C04.557.470.670.380.080
D001254	C04.557.580.625.600.380.080
D001353	C04.557.337.372.216
D001353	C04.619.531.216
D001357	C04.557.450.795.830.800
D001357	C04.619.857.800
D001471	C04.834.154
D001478	C04.182.089.530.690.150
D001478	C04.557.470.200.649.002.001
D001478	C04.588.805.511.002.001
D001478	C04.700.175
D001650	C04.588.274.120.250
D001661	C04.588.274.120
