# MeSH descriptors under E04.
# Source: NLM MeSH SPARQL endpoint, https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_ingest_sensitivity.py --refresh-trees
# descriptors: 582
D000025	Abortion, Eugenic
D000028	Abortion, Induced
D000029	Abortion, Legal
D000032	Abortion, Therapeutic
D000067368	Transanal Endoscopic Surgery
D000067369	Transanal Endoscopic Microsurgery
D000069237	Arthrocentesis
D000069258	Thoracentesis
D000069278	Arterial Switch Operation
D000069339	Trachelectomy
D000069356	Tympanocentesis
D000069577	Morcellation
D000069916	Endoscopic Mucosal Resection
D000070638	Ulnar Collateral Ligament Reconstruction
D000070799	Open Fracture Reduction
D000071062	Sutureless Surgical Procedures
D000071085	Single-Balloon Enteroscopy
D000071087	Balloon Enteroscopy
D000071938	Fasciotomy
D000072036	Prophylactic Mastectomy
D000072228	Arthroplasty, Replacement, Shoulder
D000072229	Posterior Cruciate Ligament Reconstruction
D000073880	Body Contouring
D000074060	Bronchial Thermoplasty
D000074402	Synovectomy
D000074403	Meniscectomy
D000074406	Mastoidectomy
D000074431	Keratectomy
D000074432	Sphincterotomy
D000074433	Myotomy
D000074434	Heller Myotomy
D000074642	Nephrolithotomy, Percutaneous
D000074643	Nephrotomy
D000074682	Nephroureterectomy
D000074722	Lateral Internal Sphincterotomy
D000074868	Salpingo-oophorectomy
D000074882	Pyloromyotomy
D000074883	Vulvectomy
D000074885	Amniotomy
D000075442	Transplantation, Haploidentical
D000076822	Pinealectomy
D000077845	Lipoabdominoplasty
D000078542	Proctectomy
D000078703	Radiofrequency Ablation
D000079042	Maze Procedure
D000079664	Continuous Renal Replacement Therapy
D000079763	Intermittent Renal Replacement Therapy
D000079782	Hybrid Renal Replacement Therapy
D000080482	Enhanced Recovery After Surgery
D000080872	Open Abdomen Techniques
D000082622	Preoperative Exercise
D000084982	Nasoalveolar Molding
D000087526	Umbilical Cord Clamping
D000088103	Ex utero Intrapartum Treatment Procedures
D000092945	Tattoo Removal
D000093562	Phalloplasty
D000093667	Penile Transplantation
D000094463	Transurethral Resection of Bladder
D000094682	Endovascular Aneurysm Repair
D000095782	Oral Frenectomy
D000096584	Overlapping Surgery
D000098522	Tracheostomy Decannulation
D000098523	Device Lead Extraction
D000098524	Hardware Removal
D000098944	Aquablation
D000099090	Colorectal Surgical Procedures
D000099220	Pressurized Intraperitoneal Aerosol Chemotherapy
D000099303	Septal Myectomy
D000099316	Transcatheter Mitral Valve Replacement
D000233	Adenoidectomy
D000315	Adrenalectomy
D000540	Alveolar Ridge Augmentation
D000541	Alveolectomy
D000543	Alveoloplasty
D000556	Ambulatory Surgical Procedures
D000649	Amniocentesis
D000671	Amputation, Surgical
D000713	Anastomosis, Roux-en-Y
D000714	Anastomosis, Surgical
D000762	Anesthesia Recovery Period
D000800	Angioplasty, Balloon
D001026	Coronary Artery Bypass
D001047	Apicoectomy
D001062	Appendectomy
D001166	Arteriovenous Shunt, Surgical
D001174	Arthrodesis
D001178	Arthroplasty
D001182	Arthroscopy
D001243	Assisted Circulation
D001340	Autonomic Nerve Block
D001662	Biliary Tract Surgical Procedures
D001706	Biopsy
D001707	Biopsy, Needle
D001751	Blade Implantation
D001800	Blood Specimen Collection
D001852	Bone Lengthening
D001999	Bronchoscopy
D002315	Cardiopulmonary Bypass
D002369	Castration
D002387	Cataract Extraction
D002405	Catheterization, Central Venous
D002406	Catheterization, Peripheral
D002407	Catheterization, Swan-Ganz
D002425	Cautery
D002431	Cecostomy
D002541	Cerebral Decortication
D002548	Cerebral Revascularization
D002557	Cerebrospinal Fluid Shunts
D002585	Cesarean Section
D002615	Chemexfoliation
D002760	Cholangiopancreatography, Endoscopic Retrograde
D002763	Cholecystectomy
D002767	Cholecystostomy
D002768	Choledochostomy
D002818	Cordotomy
D002944	Circumcision, Male
D003082	Colectomy
D003096	Collapse Therapy
D003113	Colonoscopy
D003125	Colostomy
D003127	Colposcopy
D003399	Craniotomy
D003452	Cryosurgery
D003464	Culdoscopy
D003475	Curettage
D003558	Cystoscopy
D003559	Cystostomy
D003608	Dacryocystorhinostomy
D003646	Debridement
D003714	Denervation
D003757	Dental Implantation
D003758	Dental Implantation, Endosseous
D003759	Dental Implantation, Endosseous, Endodontic
D003869	Dermabrasion
D004107	Dilatation and Curettage
D004188	Disarticulation
D004210	Dissection
D004322	Drainage
D004384	Duodenoscopy
D004385	Duodenostomy
D004564	Electrocoagulation
D004598	Electrosurgery
D004691	Endarterectomy
D004713	Endolymphatic Shunt
D004724	Endoscopy
D004766	Enterostomy
D004841	Episiotomy
D004944	Esophagoplasty
D004945	Esophagoscopy
D004946	Esophagostomy
D005112	Extracorporeal Circulation
D005113	Extraction, Obstetrical
D005276	Fenestration, Labyrinth
D005332	Fetoscopy
D005592	Fracture Fixation
D005593	Fracture Fixation, Internal
D005594	Fracture Fixation, Intramedullary
D005743	Gastrectomy
D005763	Gastroenterostomy
D005773	Gastroscopy
D005774	Gastrostomy
D005890	Gingivectomy
D005893	Gingivoplasty
D005927	Glossectomy
D006324	Heart Arrest, Induced
D006336	Heart Massage
D006348	Cardiac Surgical Procedures
D006353	Heart-Assist Devices
D006428	Hemipelvectomy
D006440	Hemofiltration
D006464	Hemoperfusion
D006488	Hemostasis, Surgical
D006498	Hepatectomy
D007016	Hypophysectomy
D007017	Hypophysectomy, Chemical
D007044	Hysterectomy
D007045	Hysterectomy, Vaginal
D007081	Ileostomy
D007387	Internal Mammary-Coronary Artery Anastomosis
D007423	Intra-Aortic Balloon Pumping
D007430	Intraoperative Care
D007432	Intraoperative Period
D007581	Jejunoileal Bypass
D007582	Jejunostomy
D007646	Keratotomy, Radial
D007751	Labor, Induced
D007796	Laminectomy
D007813	Laparotomy
D007825	Laryngectomy
D007828	Laryngoscopy
D008026	Ligation
D008028	Light Coagulation
D008096	Lithotripsy
D008197	Lymph Node Excision
D008408	Mastectomy
D008481	Mediastinoscopy
D008866	Microsurgery
D008876	Middle Ear Ventilation
D009121	Muscle Denervation
D009204	Myocardial Revascularization
D009225	Myringoplasty
D009392	Nephrectomy
D009403	Nephrostomy, Percutaneous
D009407	Nerve Block
D009409	Nerve Crush
